================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          .\med\S1_CS5_352M_EGS5.med
Arquivo do sistema:            .\sist\ieee118_SP_JML.cdf
Tolerância entre iteraçoes:    1.00e-005
Limite de iteraçoes:           100

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/25/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1961
Estação:                       W
Identificação:                 IEEE 118 Bus Test Case
Número de barras:              118 
Número de ramos:               179 
Referência na barra:           69

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
----------------------------------------------------------------------------------
   1    1    2  1   0  0 0.020 01.0  0.00205   -0.04743   -0.05246    +10.605102 
   2    1    3  1   0  0 0.020 01.0  0.00374   -0.30057   -0.29426     -2.099345 
   3    4    5  1   0  0 0.020 01.0  0.00307   -0.19976   -0.20808     +4.164998 
   4    3    5  1   0  0 0.020 01.0  0.00539   -0.54870   -0.56029     +2.112265 
   5    5    6  1   0  0 0.020 01.0  0.00655   +0.72249   +0.71212     -1.435314 
   6    6    7  1   0  0 0.020 01.0  0.00447   +0.41029   +0.41201     +0.419216 
   7    8    9  1   0  0 0.020 01.0  0.00834   -0.99161   -1.00900     +1.753714 
   8    8    5  1   0  0 0.020 01.0  0.01785   +2.41719   +2.38552     -1.310199 
   9    9   10  1   0  0 0.020 01.0  0.00839   -0.99787   -1.00794     +1.009149 
  10    4   11  1   0  0 0.020 01.0  0.00795   +0.93276   +0.91535     -1.866504 
  11    5   11  1   0  0 0.020 01.0  0.00795   +0.93236   +0.94753     +1.627054 
  12   11   12  1   0  0 0.020 01.0  0.00395   -0.33254   -0.33933     +2.041860 
  13    2   12  1   0  0 0.020 01.0  0.00297   -0.18506   -0.18333     -0.934832 
  14    3   12  1   0  0 0.020 01.0  0.00186   -0.01927   -0.01757     -8.822003 
  15    7   12  1   0  0 0.020 01.0  0.00359   +0.27834   +0.28441     +2.180786 
  16   11   13  1   0  0 0.020 01.0  0.01299   +1.68886   +1.69394     +0.300795 
  17   12   14  1   0  0 0.020 01.0  0.00249   -0.11291   -0.11370     +0.699672 
  18   13   15  1   0  0 0.020 01.0  0.00632   -0.68869   -0.69133     +0.383336 
  19   14   15  1   0  0 0.020 01.0  0.00313   -0.20936   -0.20969     +0.157623 
  20   12   16  1   0  0 0.020 01.0  0.00380   -0.31032   -0.31146     +0.367363 
  21   15   17  1   0  0 0.020 01.0  0.01090   -1.37497   -1.37528     +0.022546 
  22   16   17  1   0  0 0.020 01.0  0.00496   -0.48353   -0.48330     -0.047567 
  23   17   18  1   0  0 0.020 01.0  0.00623   +0.67422   +0.67490     +0.100857 
  24   18   19  1   0  0 0.020 01.0  0.00380   +0.30938   +0.30566     -1.202405 
  25   19   20  1   0  0 0.020 01.0  0.00442   -0.40278   -0.40998     +1.787576 
  26   15   19  1   0  0 0.020 01.0  0.00369   -0.29413   -0.28320     -3.716044 
  27   20   21  1   0  0 0.020 01.0  0.00526   -0.52982   -0.53350     +0.694576 
  28   21   22  1   0  0 0.020 01.0  0.00594   -0.63067   -0.62084     -1.558660 
  29   22   23  1   0  0 0.020 01.0  0.00644   -0.70622   -0.71631     +1.428733 
  30   23   24  1   0  0 0.020 01.0  0.00593   -0.62945   -0.62790     -0.246247 
  31   23   25  1   0  0 0.020 01.0  0.00662   -0.73245   -0.72589     -0.895624 
  32   26   25  1   0  0 0.020 01.0  0.00398   +0.33620   +0.32870     -2.230815 
  33   25   27  1   0  0 0.020 01.0  0.00571   +0.59664   +0.58622     -1.746447 
  34   27   28  1   0  0 0.020 01.0  0.00393   +0.32992   +0.33362     +1.121484 
  35   28   29  1   0  0 0.020 01.0  0.00315   +0.21213   +0.20673     -2.545609 
  36   30   17  1   0  0 0.020 01.0  0.00774   +0.90165   +0.90396     +0.256197 
  37    8   30  1   0  0 0.020 01.0  0.00584   -0.61657   -0.62712     +1.711079 
  38   26   30  1   0  0 0.020 01.0  0.01949   +2.66380   +2.63512     -1.076657 
  39   17   31  1   0  0 0.020 01.0  0.00753   -0.86903   -0.86747     -0.179510 
  40   29   31  1   0  0 0.020 01.0  0.00205   +0.04708   +0.04447     -5.543755 
  41   23   32  1   0  0 0.020 01.0  0.00568   +0.59257   +0.58904     -0.595710 
  42   31   32  1   0  0 0.020 01.0  0.00272   -0.14800   -0.14836     +0.243243 
  43   27   32  1   0  0 0.020 01.0  0.00467   +0.44117   +0.44060     -0.129202 
  44   15   33  1   0  0 0.020 01.0  0.00285   +0.16832   +0.17679     +5.032082 
  45   19   34  1   0  0 0.020 01.0  0.00279   +0.15875   +0.15538     -2.122835 
  46   35   36  1   0  0 0.020 01.0  0.00187   -0.02061   -0.01749    -15.138282 
  47   35   37  1   0  0 0.020 01.0  0.00310   -0.20439   -0.20479     +0.195704 
  48   33   37  1   0  0 0.020 01.0  0.00180   +0.01025   +0.01180    +15.121951 
  49   34   36  1   0  0 0.020 01.0  0.00296   +0.18338   +0.17891     -2.437561 
  50   34   37  1   0  0 0.020 01.0  0.00554   -0.57038   -0.57717     +1.190434 
  51   38   37  1   0  0 0.020 01.0  0.01141   +1.45150   +1.45300     +0.103341 
  52   37   39  1   0  0 0.020 01.0  0.00421   +0.37213   +0.36918     -0.792734 
  53   37   40  1   0  0 0.020 01.0  0.00382   +0.31291   +0.31669     +1.208015 
  54   30   38  1   0  0 0.020 01.0  0.00892   +1.07800   +1.07962     +0.150278 
  55   39   40  1   0  0 0.020 01.0  0.00292   +0.17839   +0.18339     +2.802848 
  56   40   41  1   0  0 0.020 01.0  0.00343   +0.25395   +0.24828     -2.232723 
  57   40   42  1   0  0 0.020 01.0  0.00220   +0.06972   +0.07159     +2.682157 
  58   41   42  1   0  0 0.020 01.0  0.00174   -0.00063   -0.00234   +271.428571 
  59   43   44  1   0  0 0.020 01.0  0.00218   +0.06643   +0.06695     +0.782779 
  60   34   43  1   0  0 0.020 01.0  0.00301   +0.19107   +0.19153     +0.240749 
  61   44   45  1   0  0 0.020 01.0  0.00202   -0.04318   -0.03953     -8.452987 
  62   45   46  1   0  0 0.020 01.0  0.00329   -0.23397   -0.22743     -2.795230 
  63   46   47  1   0  0 0.020 01.0  0.00275   -0.15231   -0.15220     -0.072221 
  64   46   48  1   0  0 0.020 01.0  0.00190   +0.02542   +0.02139    -15.853659 
  65   47   49  1   0  0 0.020 01.0  0.00369   +0.29401   +0.28620     -2.656372 
  66   42   49  1   0  0 0.020 01.0  0.00369   -0.29294   -0.29240     -0.184338 
  67   45   49  1   0  0 0.020 01.0  0.00288   -0.17127   -0.17388     +1.523910 
  68   48   49  1   0  0 0.020 01.0  0.00248   -0.11165   -0.11137     -0.250784 
  69   49   50  1   0  0 0.020 01.0  0.00407   +0.35103   +0.35662     +1.592456 
  70   49   51  1   0  0 0.020 01.0  0.00464   +0.43652   +0.44062     +0.939247 
  71   51   52  1   0  0 0.020 01.0  0.00303   +0.19523   +0.19053     -2.407417 
  72   52   53  1   0  0 0.020 01.0  0.00221   +0.07149   +0.06954     -2.727654 
  73   53   54  1   0  0 0.020 01.0  0.00231   -0.08587   -0.08407     -2.096192 
  74   49   54  1   0  0 0.020 01.0  0.00526   +0.52916   +0.52734     -0.343941 
  75   54   55  1   0  0 0.020 01.0  0.00189   +0.02339   +0.02643    +12.997007 
  76   54   56  1   0  0 0.020 01.0  0.00242   +0.10285   +0.10657     +3.616918 
  77   55   56  1   0  0 0.020 01.0  0.00223   -0.07406   -0.07274     -1.782339 
  78   56   57  1   0  0 0.020 01.0  0.00270   -0.14566   -0.15108     +3.720994 
  79   50   57  1   0  0 0.020 01.0  0.00328   +0.23179   +0.22395     -3.382372 
  80   56   58  1   0  0 0.020 01.0  0.00196   -0.03331   -0.03663     +9.966977 
  81   51   58  1   0  0 0.020 01.0  0.00251   +0.11639   +0.11344     -2.534582 
  82   54   59  1   0  0 0.020 01.0  0.00285   -0.16795   -0.17418     +3.709437 
  83   56   59  1   0  0 0.020 01.0  0.00371   -0.29572   -0.29285     -0.970513 
  84   55   59  1   0  0 0.020 01.0  0.00296   -0.18381   -0.18141     -1.305696 
  85   59   60  1   0  0 0.020 01.0  0.00340   -0.24947   -0.25520     +2.296869 
  86   59   61  1   0  0 0.020 01.0  0.00378   -0.30715   -0.31528     +2.646915 
  87   60   61  1   0  0 0.020 01.0  0.00661   -0.73114   -0.74722     +2.199305 
  88   60   62  1   0  0 0.020 01.0  0.00217   -0.06628   -0.06889     +3.937839 
  89   61   62  1   0  0 0.020 01.0  0.00279   +0.15882   +0.16274     +2.468203 
  90   63   59  1   0  0 0.020 01.0  0.01234   +1.59036   +1.56980     -1.292789 
